"scenario","model","rep","year","pvpr_2_10","clin_0_5","clin_all","relapse_all"
"eir_1","IBM",1,12.0822,0.0412207,0.563975,0.444413,1.69341
"eir_1","IBM",1,12.1644,0.0384554,0.46002,0.373645,1.69728
"eir_1","IBM",1,12.2466,0.0428111,0.441608,0.440804,1.70582
"eir_1","IBM",1,12.3288,0.0429782,0.508931,0.476245,1.77798
"eir_1","IBM",1,12.411,0.0472103,0.535827,0.461623,1.70727
"eir_1","IBM",1,12.4932,0.0484623,0.535935,0.470203,1.66342
"eir_1","IBM",1,12.5753,0.0469465,0.537131,0.498332,1.7295
"eir_1","IBM",1,12.6575,0.045508,0.561303,0.470251,1.69046
"eir_1","IBM",1,12.7397,0.0425734,0.589862,0.462967,1.77125
"eir_1","IBM",1,12.8219,0.0413765,0.497784,0.440981,1.68696
"eir_1","IBM",1,12.9041,0.043053,0.439766,0.471519,1.69674
"eir_1","IBM",1,12.9863,0.0408076,0.50118,0.461727,1.62704
"eir_1","IBM",1,13.0685,0.0407019,0.524296,0.471474,1.69657
"eir_1","IBM",1,13.1507,0.0418769,0.490251,0.465416,1.68454
"eir_1","IBM",1,13.2329,0.0430494,0.519219,0.488621,1.80912
"eir_1","IBM",1,13.3151,0.040829,0.48299,0.433651,1.69185
"eir_1","IBM",1,13.3973,0.0423925,0.520318,0.453223,1.66508
"eir_1","IBM",1,13.4795,0.0445895,0.541502,0.45935,1.74577
"eir_1","IBM",1,13.5616,0.0442421,0.452216,0.458173,1.6873
"eir_1","IBM",1,13.6438,0.0421087,0.479361,0.425271,1.68153
"eir_1","IBM",1,13.726,0.0406692,0.439679,0.426512,1.68405
"eir_1","IBM",1,13.8082,0.0480518,0.538315,0.499879,1.70619
"eir_1","IBM",1,13.8904,0.0470684,0.599644,0.505977,1.73059
"eir_1","IBM",1,13.9726,0.0423209,0.51021,0.461979,1.68537
"eir_1","IBM",1,14.0548,0.0396448,0.505779,0.463204,1.68782
"eir_1","IBM",1,14.137,0.0395559,0.517289,0.477867,1.75748
"eir_1","IBM",1,14.2192,0.040045,0.460599,0.449772,1.65242
"eir_1","IBM",1,14.3014,0.0385754,0.488228,0.430246,1.75154
"eir_1","IBM",1,14.3836,0.0374525,0.435181,0.436357,1.70876
"eir_1","IBM",1,14.4658,0.0405164,0.486138,0.470581,1.71487
"eir_1","IBM",1,14.5479,0.0435702,0.490569,0.465725,1.79689
"eir_1","IBM",1,14.6301,0.0448812,0.565719,0.499967,1.81406
"eir_1","IBM",1,14.7123,0.0409423,0.492675,0.506104,1.81171
"eir_1","IBM",1,14.7945,0.0415288,0.547741,0.462118,1.73355
"eir_1","IBM",1,14.8767,0.043649,0.507711,0.480456,1.72866
"eir_1","IBM",1,14.9589,0.0443705,0.479951,0.480456,1.75923
"eir_1","IBM",1,15.0411,0.044383,0.465349,0.493904,1.82158
"eir_1","IBM",1,15.1233,0.0414422,0.415453,0.44504,1.82295
"eir_1","IBM",1,15.2055,0.0426796,0.520416,0.474391,1.78019
"eir_1","IBM",1,15.2877,0.0421894,0.515858,0.48295,1.67993
"eir_1","IBM",1,15.3699,0.0423669,0.504396,0.50129,1.89879
"eir_1","IBM",1,15.4521,0.0449298,0.548123,0.518407,1.89756
"eir_1","IBM",1,15.5342,0.0500028,0.643201,0.471946,1.78263
"eir_1","IBM",1,15.6164,0.0471908,0.553198,0.476836,1.80097
"eir_1","IBM",1,15.6986,0.046094,0.508272,0.474423,1.80476
"eir_1","IBM",1,15.7808,0.0423682,0.572238,0.465893,1.81955
"eir_1","IBM",1,15.863,0.043453,0.452006,0.437711,1.7594
"eir_1","IBM",1,15.9452,0.046277,0.478548,0.484172,1.82176
"eir_1","IBM",1,16.0274,0.0431868,0.491073,0.464568,1.79348
"eir_1","IBM",1,16.1096,0.0484773,0.49149,0.539138,1.82524
"eir_1","IBM",1,16.1918,0.0481935,0.397652,0.446225,1.84481
"eir_1","IBM",1,16.274,0.0435093,0.422299,0.441362,1.81924
"eir_1","IBM",1,16.3562,0.0459426,0.343477,0.429153,1.78753
"eir_1","IBM",1,16.4384,0.0445131,0.374376,0.437711,1.74351
"eir_1","IBM",1,16.5205,0.0457464,0.444934,0.475617,1.85967
"eir_1","IBM",1,16.6027,0.0450438,0.424239,0.460988,1.86352
"eir_1","IBM",1,16.6849,0.0403303,0.397417,0.478141,1.86732
"eir_1","IBM",1,16.7671,0.0425334,0.469386,0.480601,1.91996
"eir_1","IBM",1,16.8493,0.04441,0.462702,0.436577,1.77321
"eir_1","IBM",1,16.9315,0.0447849,0.497366,0.45492,1.78788
"eir_1","IBM",1,17.0137,0.045657,0.453987,0.439022,1.80256
"eir_1","IBM",1,17.0959,0.0418447,0.438542,0.457366,1.81112
"eir_1","IBM",1,17.1781,0.044615,0.557661,0.490384,1.86737
"eir_1","IBM",1,17.2603,0.0469647,0.459197,0.448806,1.87593
"eir_1","IBM",1,17.3425,0.047184,0.455456,0.430462,1.80378
"eir_1","IBM",1,17.4247,0.0464477,0.519726,0.439022,1.82457
"eir_1","IBM",1,17.5068,0.0414761,0.383291,0.442691,1.8368
"eir_1","IBM",1,17.589,0.0404464,0.39895,0.439022,1.6925
"eir_1","IBM",1,17.6712,0.0403401,0.46509,0.436577,1.73285
"eir_1","IBM",1,17.7534,0.0415194,0.420249,0.435378,1.69626
"eir_1","IBM",1,17.8356,0.0357005,0.460809,0.426839,1.74038
"eir_1","IBM",1,17.9178,0.0406932,0.545969,0.465973,1.7685
"eir_1","IBM",1,18,0.0461558,0.455603,0.415862,1.74173
"eir_1","IBM",1,18.0822,0.0415873,0.416551,0.419582,1.65753
"eir_1","IBM",1,18.1644,0.0416576,0.417272,0.412208,1.71733
"eir_1","IBM",1,18.2466,0.045794,0.549187,0.452544,1.72823
"eir_1","IBM",1,18.3288,0.0442095,0.435655,0.420721,1.69878
"eir_1","IBM",1,18.411,0.0411189,0.416333,0.390145,1.64375
"eir_1","IBM",1,18.4932,0.0376248,0.460277,0.418275,1.64252
"eir_1","IBM",1,18.5753,0.0365686,0.515339,0.446405,1.6731
"eir_1","IBM",1,18.6575,0.0402029,0.39819,0.448851,1.74526
"eir_1","IBM",1,18.7397,0.0407338,0.554473,0.465973,1.66943
"eir_1","IBM",1,18.8219,0.0368401,0.504438,0.403599,1.689
"eir_1","IBM",1,18.9041,0.0371963,0.527765,0.453743,1.66576
"eir_1","IBM",1,18.9863,0.0399382,0.501877,0.441513,1.67799
"eir_1","IBM",1,19.0685,0.0399846,0.521493,0.450074,1.67799
"eir_1","IBM",1,19.1507,0.0417866,0.499837,0.464759,1.72695
"eir_1","IBM",1,19.2329,0.0411604,0.43989,0.455012,1.72097
"eir_1","IBM",1,19.3151,0.0401973,0.570964,0.475805,1.72219
"eir_1","IBM",1,19.3973,0.0402262,0.477496,0.441557,1.66226
"eir_1","IBM",1,19.4795,0.0410818,0.519179,0.488076,1.70643
"eir_1","IBM",1,19.5616,0.0420735,0.475216,0.497835,1.79441
"eir_1","IBM",1,19.6438,0.040431,0.484261,0.476983,1.81621
"eir_1","IBM",1,19.726,0.0460524,0.554448,0.538162,1.81874
"eir_1","IBM",1,19.8082,0.047056,0.548568,0.502714,1.79069
"eir_1","IBM",1,19.8904,0.0482717,0.536222,0.516147,1.89702
"eir_1","IBM",1,19.9726,0.0438942,0.609061,0.541801,1.85289
"eir_1","IBM",1,20.0548,0.0398091,0.608047,0.495326,1.69022
"eir_1","IBM",1,20.137,0.0446599,0.539559,0.520983,1.76718
"eir_1","IBM",1,20.2192,0.0400439,0.545007,0.498946,1.73408
"eir_1","IBM",1,20.3014,0.0450329,0.620768,0.487938,1.73041
"eir_1","IBM",1,20.3836,0.045934,0.558844,0.491655,1.75504
"eir_1","IBM",1,20.4658,0.0466586,0.683779,0.498995,1.78317
"eir_1","IBM",1,20.5479,0.0446202,0.621531,0.499033,1.79676
"eir_1","IBM",1,20.6301,0.0434695,0.629659,0.529624,1.75889
"eir_1","IBM",1,20.7123,0.0419727,0.548751,0.497785,1.83092
"eir_1","IBM",1,20.7945,0.0471339,0.630377,0.543078,1.81515
"eir_1","IBM",1,20.8767,0.04791,0.630727,0.522245,1.76854
"eir_1","IBM",1,20.9589,0.0470381,0.62064,0.52957,1.84922
"eir_1","IBM",1,21.0411,0.0462833,0.672768,0.491657,1.8272
"eir_1","IBM",1,21.1233,0.0456098,0.499586,0.470865,1.7685
"eir_1","IBM",1,21.2055,0.0478842,0.535506,0.456189,1.75504
"eir_1","IBM",1,21.2877,0.0463279,0.592155,0.508798,1.81504
"eir_1","IBM",1,21.3699,0.0439892,0.458244,0.44645,1.76134
"eir_1","IBM",1,21.4521,0.0403792,0.568699,0.462371,1.86538
"eir_1","IBM",1,21.5342,0.0465267,0.533965,0.502757,1.84711
"eir_1","IBM",1,21.6164,0.0451705,0.652754,0.521147,1.84359
"eir_1","IBM",1,21.6986,0.0464133,0.607477,0.527283,1.87791
"eir_1","IBM",1,21.7808,0.0459053,0.550528,0.474677,1.78371
"eir_1","IBM",1,21.863,0.0463785,0.493879,0.46856,1.85711
"eir_1","IBM",1,21.9452,0.0470223,0.436109,0.49303,1.82287
"eir_1","IBM",1,22.0274,0.0486719,0.523952,0.469831,1.84384
