"scenario","model","rep","years","elapsed_s"
"eir_0.3","IBM",14,33,57.6
"eir_30","IBM",14,33,78.08
"seasonal","IBM",14,33,55.6
"eir_0.3","IBM",15,33,52.47
"eir_30","IBM",15,33,73.5
"seasonal","IBM",15,33,54.26
"eir_0.3","IBM",16,33,51.46
"eir_30","IBM",16,33,74.48
"seasonal","IBM",16,33,55.15
"eir_0.3","IBM",17,33,52.92
"eir_30","IBM",17,33,77.17
"seasonal","IBM",17,33,58.62
"eir_0.3","IBM",18,33,56.7
"eir_30","IBM",18,33,78.92
"seasonal","IBM",18,33,57.61
"eir_0.3","IBM",19,33,54.75
"eir_30","IBM",19,33,75.32
"seasonal","IBM",19,33,55.75
"eir_0.3","IBM",20,33,53
"eir_30","IBM",20,33,71.41
"seasonal","IBM",20,33,48.84
"eir_1","fleet",0,33,128.27
"eir_3","fleet",0,33,127.86
"eir_10","fleet",0,33,128.05
"demography","fleet",0,33,138.81
"nets_e1","fleet",0,36,124.05
"nets","fleet",0,36,123.25
"nets_e10","fleet",0,36,122.97
"irs_e1","fleet",0,36,121.66
"irs","fleet",0,36,125.68
"irs_e10","fleet",0,36,126.34
"treatment_e1","fleet",0,36,140.64
"treatment","fleet",0,36,138.93
"treatment_e10","fleet",0,36,142.14
"primaquine_e1","fleet",0,36,276.98
"primaquine","fleet",0,36,272.67
"primaquine_e10","fleet",0,36,271.56
"tafenoquine_e1","fleet",0,36,442.61
"tafenoquine","fleet",0,36,419.65
"tafenoquine_e10","fleet",0,36,418.59
"eir_0.3","fleet",0,33,119.54
"eir_30","fleet",0,33,118.35
"seasonal","fleet",0,33,108.17
