"eir","metric","mid","lo","hi","model","scenario"
"EIR 1","LM prevalence, ages 2–10",0.723243889,NA,NA,"fleet","Indoor residual spraying
80% coverage, annual"
"EIR 1","clinical incidence, ages 0–5",0.7960009203,NA,NA,"fleet","Indoor residual spraying
80% coverage, annual"
"EIR 1","clinical incidence, all ages",0.776218834,NA,NA,"fleet","Indoor residual spraying
80% coverage, annual"
"EIR 1","relapse incidence, all ages",0.6644897879,NA,NA,"fleet","Indoor residual spraying
80% coverage, annual"
"EIR 10","LM prevalence, ages 2–10",0.6955979317,NA,NA,"fleet","Indoor residual spraying
80% coverage, annual"
"EIR 10","clinical incidence, ages 0–5",0.7958013817,NA,NA,"fleet","Indoor residual spraying
80% coverage, annual"
"EIR 10","clinical incidence, all ages",0.7844457591,NA,NA,"fleet","Indoor residual spraying
80% coverage, annual"
"EIR 10","relapse incidence, all ages",0.6509053038,NA,NA,"fleet","Indoor residual spraying
80% coverage, annual"
"EIR 3","LM prevalence, ages 2–10",0.6234738576,NA,NA,"fleet","Bed-net campaign
80% coverage, one round"
"EIR 3","clinical incidence, ages 0–5",0.6979175931,NA,NA,"fleet","Bed-net campaign
80% coverage, one round"
"EIR 3","clinical incidence, all ages",0.6827673334,NA,NA,"fleet","Bed-net campaign
80% coverage, one round"
"EIR 3","relapse incidence, all ages",0.5892850762,NA,NA,"fleet","Bed-net campaign
80% coverage, one round"
"EIR 1","LM prevalence, ages 2–10",0.6586693732,NA,NA,"fleet","Bed-net campaign
80% coverage, one round"
"EIR 1","clinical incidence, ages 0–5",0.725823917,NA,NA,"fleet","Bed-net campaign
80% coverage, one round"
"EIR 1","clinical incidence, all ages",0.7061762713,NA,NA,"fleet","Bed-net campaign
80% coverage, one round"
"EIR 1","relapse incidence, all ages",0.6119257319,NA,NA,"fleet","Bed-net campaign
80% coverage, one round"
"EIR 10","LM prevalence, ages 2–10",0.5569951698,NA,NA,"fleet","Bed-net campaign
80% coverage, one round"
"EIR 10","clinical incidence, ages 0–5",0.626169151,NA,NA,"fleet","Bed-net campaign
80% coverage, one round"
"EIR 10","clinical incidence, all ages",0.6228140446,NA,NA,"fleet","Bed-net campaign
80% coverage, one round"
"EIR 10","relapse incidence, all ages",0.545019045,NA,NA,"fleet","Bed-net campaign
80% coverage, one round"
"EIR 3","LM prevalence, ages 2–10",0.721965218,NA,NA,"fleet","Radical cure
CQ + primaquine at 60%"
"EIR 3","clinical incidence, ages 0–5",0.6974502659,NA,NA,"fleet","Radical cure
CQ + primaquine at 60%"
"EIR 3","clinical incidence, all ages",0.6427165045,NA,NA,"fleet","Radical cure
CQ + primaquine at 60%"
"EIR 3","relapse incidence, all ages",0.392410372,NA,NA,"fleet","Radical cure
CQ + primaquine at 60%"
"EIR 1","LM prevalence, ages 2–10",0.8247471508,NA,NA,"fleet","Radical cure
CQ + primaquine at 60%"
"EIR 1","clinical incidence, ages 0–5",0.7758398709,NA,NA,"fleet","Radical cure
CQ + primaquine at 60%"
"EIR 1","clinical incidence, all ages",0.738254272,NA,NA,"fleet","Radical cure
CQ + primaquine at 60%"
"EIR 1","relapse incidence, all ages",0.5687323843,NA,NA,"fleet","Radical cure
CQ + primaquine at 60%"
"EIR 10","LM prevalence, ages 2–10",0.5882439505,NA,NA,"fleet","Radical cure
CQ + primaquine at 60%"
"EIR 10","clinical incidence, ages 0–5",0.5879410801,NA,NA,"fleet","Radical cure
CQ + primaquine at 60%"
"EIR 10","clinical incidence, all ages",0.5413798595,NA,NA,"fleet","Radical cure
CQ + primaquine at 60%"
"EIR 10","relapse incidence, all ages",0.244029495,NA,NA,"fleet","Radical cure
CQ + primaquine at 60%"
"EIR 3","LM prevalence, ages 2–10",0.7346910946,NA,NA,"fleet","Radical cure
CQ + tafenoquine at 60%"
"EIR 3","clinical incidence, ages 0–5",0.7028786112,NA,NA,"fleet","Radical cure
CQ + tafenoquine at 60%"
"EIR 3","clinical incidence, all ages",0.6480453642,NA,NA,"fleet","Radical cure
CQ + tafenoquine at 60%"
"EIR 3","relapse incidence, all ages",0.3985441436,NA,NA,"fleet","Radical cure
CQ + tafenoquine at 60%"
"EIR 1","LM prevalence, ages 2–10",0.8347246027,NA,NA,"fleet","Radical cure
CQ + tafenoquine at 60%"
"EIR 1","clinical incidence, ages 0–5",0.7799894089,NA,NA,"fleet","Radical cure
CQ + tafenoquine at 60%"
"EIR 1","clinical incidence, all ages",0.7425072093,NA,NA,"fleet","Radical cure
CQ + tafenoquine at 60%"
"EIR 1","relapse incidence, all ages",0.5738429805,NA,NA,"fleet","Radical cure
CQ + tafenoquine at 60%"
"EIR 10","LM prevalence, ages 2–10",0.6026076569,NA,NA,"fleet","Radical cure
CQ + tafenoquine at 60%"
"EIR 10","clinical incidence, ages 0–5",0.5955557028,NA,NA,"fleet","Radical cure
CQ + tafenoquine at 60%"
"EIR 10","clinical incidence, all ages",0.5481232398,NA,NA,"fleet","Radical cure
CQ + tafenoquine at 60%"
"EIR 10","relapse incidence, all ages",0.2502569681,NA,NA,"fleet","Radical cure
CQ + tafenoquine at 60%"
"EIR 3","LM prevalence, ages 2–10",0.3772551707,NA,NA,"fleet","Treatment scale-up
chloroquine, 20% → 60% of cases"
"EIR 3","clinical incidence, ages 0–5",0.2014266467,NA,NA,"fleet","Treatment scale-up
chloroquine, 20% → 60% of cases"
"EIR 3","clinical incidence, all ages",0.1776094929,NA,NA,"fleet","Treatment scale-up
chloroquine, 20% → 60% of cases"
"EIR 3","relapse incidence, all ages",0.1451725262,NA,NA,"fleet","Treatment scale-up
chloroquine, 20% → 60% of cases"
"EIR 1","LM prevalence, ages 2–10",0.4768800916,NA,NA,"fleet","Treatment scale-up
chloroquine, 20% → 60% of cases"
"EIR 1","clinical incidence, ages 0–5",0.2820838449,NA,NA,"fleet","Treatment scale-up
chloroquine, 20% → 60% of cases"
"EIR 1","clinical incidence, all ages",0.2564456669,NA,NA,"fleet","Treatment scale-up
chloroquine, 20% → 60% of cases"
"EIR 1","relapse incidence, all ages",0.2267015748,NA,NA,"fleet","Treatment scale-up
chloroquine, 20% → 60% of cases"
"EIR 10","LM prevalence, ages 2–10",0.2809029573,NA,NA,"fleet","Treatment scale-up
chloroquine, 20% → 60% of cases"
"EIR 10","clinical incidence, ages 0–5",0.131986534,NA,NA,"fleet","Treatment scale-up
chloroquine, 20% → 60% of cases"
"EIR 10","clinical incidence, all ages",0.1181306451,NA,NA,"fleet","Treatment scale-up
chloroquine, 20% → 60% of cases"
"EIR 10","relapse incidence, all ages",0.08894356352,NA,NA,"fleet","Treatment scale-up
chloroquine, 20% → 60% of cases"
