"scenario","model","rep","age_lo","age_hi","age_mid","pop_frac","prev","clin"
"eir_3","IBM",4,1,2,1.5,0.0451606,0.0563539,1.09289
"eir_3","IBM",4,2,3,2.5,0.0429007,0.0717659,1.29812
"eir_3","IBM",4,3,5,4,0.0790125,0.0919182,1.45382
"eir_3","IBM",4,5,7,6,0.0713311,0.0967396,1.18867
"eir_3","IBM",4,7,10,8.5,0.0964591,0.0926596,0.980154
"eir_3","IBM",4,10,15,12.5,0.131871,0.0797192,0.775776
"eir_3","IBM",4,15,20,17.5,0.103149,0.0732475,0.638424
"eir_3","IBM",4,20,30,25,0.153475,0.0585044,0.358889
"eir_3","IBM",4,30,40,35,0.0928541,0.0519012,0.223634
"eir_3","IBM",4,40,60,50,0.0930436,0.0502593,0.136164
"eir_3","IBM",4,60,85,72.5,0.0427165,0.0451433,0.128469
"eir_10","IBM",4,0,1,0.5,0.0473674,0.0665052,1.33249
"eir_10","IBM",4,1,2,1.5,0.045669,0.140984,2.67067
"eir_10","IBM",4,2,3,2.5,0.0440284,0.174353,2.76942
"eir_10","IBM",4,3,5,4,0.0820386,0.185327,2.05216
"eir_10","IBM",4,5,7,6,0.0716034,0.182887,1.6225
"eir_10","IBM",4,7,10,8.5,0.095477,0.157262,1.07104
"eir_10","IBM",4,10,15,12.5,0.140306,0.113365,0.497392
"eir_10","IBM",4,15,20,17.5,0.104847,0.0904072,0.292275
"eir_10","IBM",4,20,30,25,0.144845,0.0688173,0.195669
"eir_10","IBM",4,30,40,35,0.0937783,0.0530472,0.135042
"eir_10","IBM",4,40,60,50,0.0886577,0.0506228,0.0912808
"eir_10","IBM",4,60,85,72.5,0.0413824,0.0543807,0.076915
"demography","IBM",4,0,1,0.5,0.0178813,0.0162712,0.34459
"demography","IBM",4,1,2,1.5,0.016953,0.0410663,0.80239
"demography","IBM",4,2,3,2.5,0.0159833,0.0593199,0.988001
"demography","IBM",4,3,5,4,0.0326168,0.0756667,1.19438
"demography","IBM",4,5,7,6,0.0343524,0.0764839,1.08993
"demography","IBM",4,7,10,8.5,0.0466286,0.0814034,0.878796
"demography","IBM",4,10,15,12.5,0.081235,0.0721109,0.674778
"demography","IBM",4,15,20,17.5,0.0764658,0.0592762,0.491413
"demography","IBM",4,20,30,25,0.159047,0.0523588,0.367514
"demography","IBM",4,30,40,35,0.151312,0.045221,0.226306
"demography","IBM",4,40,60,50,0.237239,0.04366,0.121347
"demography","IBM",4,60,85,72.5,0.130286,0.0429252,0.0847671
"eir_1","IBM",5,0,1,0.5,0.0483063,0.00776872,0.161073
"eir_1","IBM",5,1,2,1.5,0.0455713,0.0186848,0.368946
"eir_1","IBM",5,2,3,2.5,0.0420215,0.0285211,0.538583
"eir_1","IBM",5,3,5,4,0.0762952,0.0341531,0.567559
"eir_1","IBM",5,5,7,6,0.0736568,0.0478893,0.75461
"eir_1","IBM",5,7,10,8.5,0.0983442,0.0564082,0.803911
"eir_1","IBM",5,10,15,12.5,0.135175,0.0485152,0.569104
"eir_1","IBM",5,15,20,17.5,0.107851,0.0522265,0.486816
"eir_1","IBM",5,20,30,25,0.149121,0.0431637,0.408802
"eir_1","IBM",5,30,40,35,0.0954379,0.0387322,0.302007
"eir_1","IBM",5,40,60,50,0.0891664,0.0418763,0.2652
"eir_1","IBM",5,60,85,72.5,0.0390527,0.0426768,0.211367
"eir_3","IBM",5,0,1,0.5,0.0461936,0.021012,0.430394
"eir_3","IBM",5,1,2,1.5,0.0440215,0.0486801,1.01251
