"scenario","model","rep","pvpr_2_10","pcr_2_10","clin_0_5","clin_all","relapse_all","hyp_all","eir_realised"
"eir_3","IBM",8,0.0916992479387958,0.181347217735647,1.15675635356912,0.67520597920157,4.82790567481793,0.310593711329617,3.27235393519748
"eir_10","IBM",8,0.175347655725587,0.351059468021347,2.26620044645241,0.872089054954108,13.0602452781328,0.548924950322364,10.5970196461916
"demography","IBM",8,0.0786163238811874,0.15950487593842,0.925487053153609,0.390567059017137,4.28340430296323,0.294599565351162,2.36790165138761
"eir_1","IBM",9,0.0440155865905157,0.0898873379854104,0.471477528101765,0.464965035209114,1.79539062156995,0.15126168822616,1.12031837368776
"eir_3","IBM",9,0.0925276763491373,0.187217214295217,1.16786268248768,0.679652686289286,4.82980079984912,0.310647286124949,3.26766185646161
"eir_10","IBM",9,0.174446964173069,0.350634812898479,2.19759529754561,0.864871792964243,13.1253404583089,0.550162717373245,10.6016792902964
"demography","IBM",9,0.0804164776348157,0.161564691466759,1.06874904302557,0.413767233471096,4.52503953201762,0.301590002178085,2.57887987900033
"eir_1","IBM",10,0.0389060077494299,0.0817171432195076,0.447214253620433,0.429763307234732,1.77149448502511,0.149072815758878,1.04136073041731
"eir_3","IBM",10,0.0918690936667126,0.184565587980216,1.17506991724029,0.677545317561048,4.8295170169883,0.308437807906594,3.30641199027768
"eir_10","IBM",10,0.168346751539846,0.338943960715549,2.20357632789884,0.83479360913723,12.9161868880579,0.546387895275444,10.3510121788766
"demography","IBM",10,0.0750078637942653,0.15197530940675,0.849844214401513,0.39776710257582,4.31443806148463,0.291399588748408,2.41628249313946
"eir_1","IBM",11,0.0462780394030216,0.0943116218574639,0.525238620632228,0.489961961523501,1.86002463507187,0.155334435615611,1.17758287111487
"eir_3","IBM",11,0.0915784074107601,0.183748161675476,1.16510490433598,0.664380374410602,4.76926719415793,0.304895486148294,3.19717488726676
"eir_10","IBM",11,0.167507194425903,0.341861540031249,2.18321783100659,0.853682155044822,13.0290785563054,0.547703822339289,10.3902453709191
"demography","IBM",11,0.0774940669679802,0.155233808139678,0.865078500829527,0.383533578514616,4.39456947598049,0.294683750026142,2.42488066539461
"eir_1","IBM",12,0.0447073522099976,0.0926975101671362,0.499313213986524,0.481581986705151,1.83101030674896,0.155658850153721,1.13388600773376
"eir_3","IBM",12,0.0962045994253486,0.192686306968099,1.14410656493934,0.692229177407912,4.92029583041392,0.317358531376187,3.30478479761253
"eir_10","IBM",12,0.170272286757723,0.346040963110616,2.16736744784688,0.835809942050481,13.0260133996083,0.545616448530231,10.3030594512939
"demography","IBM",12,0.0774904372204944,0.156237230709859,0.943378355132942,0.399933698569588,4.49483743820771,0.301755252744523,2.49203906243171
"eir_1","IBM",13,0.0422332845378451,0.0866422270333879,0.459881424838293,0.459336291623902,1.79614592454952,0.150697481534142,1.11252973246303
"eir_3","IBM",13,0.0919826742195174,0.181932149708336,1.14997215121546,0.670899945079061,4.86941776910686,0.313952813951297,3.32079255258417
"eir_10","IBM",13,0.17333899255711,0.351095464031085,2.30687204713684,0.87392679803479,13.272322181967,0.55087331546662,10.6241346847344
"demography","IBM",13,0.0731354323029185,0.148209873348063,0.937395034246218,0.39593380339173,4.30887178222221,0.290415139305645,2.3917725271083
"eir_1","IBM",14,0.0432377754888379,0.088430933779896,0.509035449981712,0.493040077220815,1.82104629133588,0.15183483946257,1.17132312885521
"eir_3","IBM",14,0.0919860099004429,0.184822794703974,1.13567325487855,0.684599733001887,4.72831514984118,0.309489481195047,3.22519283352945
"eir_10","IBM",14,0.166728897558124,0.338403788851707,2.11915331535103,0.824522456743554,12.7383498945436,0.541259534998377,10.2064284973894
"demography","IBM",14,0.0820208258575111,0.164148974344624,1.00750063222689,0.415700189817438,4.51930206360825,0.303431462754093,2.51920309059329
"eir_1","IBM",15,0.0463292272853024,0.0932339414290011,0.511286064084358,0.476667471927886,1.85837259249791,0.154741924193279,1.14734844509713
"eir_3","IBM",15,0.0906579544480869,0.181581210549866,1.10253623557768,0.636481873984971,4.82617697523558,0.310012295044363,3.20939062133075
"eir_10","IBM",15,0.173098145142146,0.34840851784603,2.27665372234686,0.863185836777624,13.0693007526511,0.547437148929696,10.4903356014499
"demography","IBM",15,0.0832113392155739,0.16304033391886,1.00827674245833,0.419667011598457,4.39370361126324,0.297051659677163,2.49408693728178
"eir_1","IBM",16,0.0430559092428156,0.0867343436993457,0.462145185628528,0.468140202433888,1.75447713312708,0.148579030752862,1.09213523454609
"eir_3","IBM",16,0.0930934284905408,0.187703813858565,1.23638110947875,0.693397837683438,4.75590842031335,0.311923476727048,3.21057110263415
"eir_10","IBM",16,0.168739477291055,0.343658876008425,2.23440762422022,0.854257867444366,13.0413636955653,0.545450192024293,10.3006830643394
"demography","IBM",16,0.0782003221470288,0.156043588347084,0.97723686071596,0.40980026197277,4.36986946019052,0.29904475738021,2.42258126836938
"eir_1","IBM",17,0.0459205266354843,0.0938625501184297,0.505325361411852,0.499351999658991,1.93947510177108,0.158499309097313,1.20410918715134
"eir_3","IBM",17,0.0922067830320885,0.187453691408738,1.08555901261695,0.663566915974582,4.86236461388416,0.309051850737468,3.22818135399381
"eir_10","IBM",17,0.16616551248085,0.337317529802328,2.16283090993228,0.84463772741781,12.7522110218118,0.542911437043749,10.2562829634907
"demography","IBM",17,0.0816723568095724,0.164282603759704,0.980748561674148,0.401133699665479,4.37423732807062,0.298230135369987,2.4198107946606
"eir_1","IBM",18,0.0470335538862456,0.0961520662905368,0.563602827638431,0.517382585217995,1.90940330155051,0.15868287544903,1.20826430134216
"eir_3","IBM",18,0.0873363992333142,0.176713498605163,1.08618924355162,0.632200411454053,4.62677563767703,0.300885129018082,3.10178317164777
