"scenario","model","rep","doy","pvpr_2_10","clin_0_5"
"eir_10","IBM",2,130,0.159963,2.1036
"eir_10","IBM",2,137,0.165607,2.18187
"eir_10","IBM",2,144,0.176604,2.45876
"eir_10","IBM",2,151,0.17821,2.65673
"eir_10","IBM",2,158,0.179227,1.91152
"eir_10","IBM",2,165,0.1717,2.01504
"eir_10","IBM",2,172,0.166233,2.46656
"eir_10","IBM",2,179,0.169876,2.28738
"eir_10","IBM",2,186,0.169443,2.64566
"eir_10","IBM",2,193,0.169561,1.58466
"eir_10","IBM",2,200,0.171522,2.1617
"eir_10","IBM",2,207,0.17126,2.05591
"eir_10","IBM",2,214,0.174498,2.38316
"eir_10","IBM",2,221,0.170078,2.65728
"eir_10","IBM",2,228,0.167362,2.62734
"eir_10","IBM",2,235,0.170286,1.97798
"eir_10","IBM",2,242,0.171612,2.40825
"eir_10","IBM",2,249,0.176514,2.54049
"eir_10","IBM",2,256,0.176729,2.0163
"eir_10","IBM",2,263,0.180061,2.44865
"eir_10","IBM",2,270,0.180362,2.60047
"eir_10","IBM",2,277,0.181951,2.29544
"eir_10","IBM",2,284,0.183744,2.47304
"eir_10","IBM",2,291,0.177242,2.14869
"eir_10","IBM",2,298,0.177449,2.30516
"eir_10","IBM",2,305,0.174993,2.1835
"eir_10","IBM",2,312,0.165032,2.72084
"eir_10","IBM",2,319,0.170881,2.75375
"eir_10","IBM",2,326,0.172038,2.75241
"eir_10","IBM",2,333,0.172048,2.37063
"eir_10","IBM",2,340,0.168968,2.32046
"eir_10","IBM",2,347,0.168155,2.04282
"eir_10","IBM",2,354,0.169739,2.09403
"eir_10","IBM",2,361,0.165564,2.22327
"eir_10","IBM",2,365,0.162663,1.42927
"demography","IBM",2,4,0.0716152,0.905557
"demography","IBM",2,11,0.0763209,0.843373
"demography","IBM",2,18,0.0803445,1.08559
"demography","IBM",2,25,0.078534,0.964651
"demography","IBM",2,32,0.0777377,0.665065
"demography","IBM",2,39,0.0753005,0.785856
"demography","IBM",2,46,0.0761998,0.906907
"demography","IBM",2,53,0.0780002,0.966248
"demography","IBM",2,60,0.0735841,0.7821
"demography","IBM",2,67,0.0746856,0.963378
"demography","IBM",2,74,0.0779107,1.19967
"demography","IBM",2,81,0.0777949,1.31899
"demography","IBM",2,88,0.0791153,1.38394
"demography","IBM",2,95,0.0804875,0.723847
"demography","IBM",2,102,0.0830048,1.09028
"demography","IBM",2,109,0.0836893,0.908111
"demography","IBM",2,116,0.0784142,1.52286
"demography","IBM",2,123,0.0714756,0.919704
"demography","IBM",2,130,0.0647924,0.922494
"demography","IBM",2,137,0.0666593,0.863905
"demography","IBM",2,144,0.0599053,0.987487
"demography","IBM",2,151,0.0653133,0.923895
"demography","IBM",2,158,0.0702703,1.23061
"demography","IBM",2,165,0.0744529,0.613445
"demography","IBM",2,172,0.0785047,1.34777
"demography","IBM",2,179,0.0820846,1.09921
"demography","IBM",2,186,0.0764233,0.549791
"demography","IBM",2,193,0.0743347,1.03884
"demography","IBM",2,200,0.0735133,1.46685
"demography","IBM",2,207,0.0835066,0.671517
"demography","IBM",2,214,0.082678,1.04251
"demography","IBM",2,221,0.0754223,0.917239
"demography","IBM",2,228,0.0750164,1.22176
"demography","IBM",2,235,0.0733785,1.09738
"demography","IBM",2,242,0.0779335,1.34258
"demography","IBM",2,249,0.083479,0.670732
"demography","IBM",2,256,0.0781659,1.16028
"demography","IBM",2,263,0.0762758,0.611288
"demography","IBM",2,270,0.0852248,0.918162
"demography","IBM",2,277,0.0803445,0.675585
"demography","IBM",2,284,0.0786982,0.798687
"demography","IBM",2,291,0.0777078,1.22958
"demography","IBM",2,298,0.0834325,0.985155
"demography","IBM",2,305,0.0901613,1.04708
"demography","IBM",2,312,0.0855875,0.981678
"demography","IBM",2,319,0.0845771,0.735393
"demography","IBM",2,326,0.0857112,0.86172
"demography","IBM",2,333,0.0800303,1.10625
"demography","IBM",2,340,0.0785846,1.23373
"demography","IBM",2,347,0.0754163,0.866102
"demography","IBM",2,354,0.0735884,0.929699
"demography","IBM",2,361,0.063726,0.74604
"demography","IBM",2,365,0.0631659,0.435042
"eir_1","IBM",3,4,0.0414629,0.438175
"eir_1","IBM",3,11,0.0420053,0.315744
"eir_1","IBM",3,18,0.0430408,0.340258
"eir_1","IBM",3,25,0.0435313,0.194628
"eir_1","IBM",3,32,0.0415183,0.316418
"eir_1","IBM",3,39,0.0409107,0.438936
"eir_1","IBM",3,46,0.0415378,0.439054
"eir_1","IBM",3,53,0.0455697,0.562102
"eir_1","IBM",3,60,0.0438392,0.366466
"eir_1","IBM",3,67,0.0418819,0.316608
"eir_1","IBM",3,74,0.0392783,0.437912
"eir_1","IBM",3,81,0.0379978,0.413143
"eir_1","IBM",3,88,0.0377464,0.291883
"eir_1","IBM",3,95,0.0361525,0.364465
"eir_1","IBM",3,102,0.0333975,0.364587
"eir_1","IBM",3,109,0.0327844,0.267435
"eir_1","IBM",3,116,0.0331153,0.608699
"eir_1","IBM",3,123,0.0348241,0.389048
"eir_1","IBM",3,130,0.0357976,0.413116
"eir_1","IBM",3,137,0.0347254,0.388893
"eir_1","IBM",3,144,0.0389262,0.4364
"eir_1","IBM",3,151,0.0394591,0.532988
"eir_1","IBM",3,158,0.0453239,0.460736
"eir_1","IBM",3,165,0.0415976,0.437039
"eir_1","IBM",3,172,0.0429838,0.291107
"eir_1","IBM",3,179,0.0418379,0.388169
"eir_1","IBM",3,186,0.0410698,0.606675
"eir_1","IBM",3,193,0.0390332,0.267008
"eir_1","IBM",3,200,0.0356623,0.315261
"eir_1","IBM",3,207,0.0386046,0.314697
"eir_1","IBM",3,214,0.0381779,0.290972
"eir_1","IBM",3,221,0.0382402,0.387602
"eir_1","IBM",3,228,0.0378122,0.338882
"eir_1","IBM",3,235,0.0374782,0.483732
"eir_1","IBM",3,242,0.0400539,0.386781
"eir_1","IBM",3,249,0.0417415,0.484021
"eir_1","IBM",3,256,0.0393017,0.242573
"eir_1","IBM",3,263,0.0357909,0.559592
"eir_1","IBM",3,270,0.0340693,0.413639
"eir_1","IBM",3,277,0.0315816,0.268042
"eir_1","IBM",3,284,0.032978,0.413915
"eir_1","IBM",3,291,0.0319122,0.292175
"eir_1","IBM",3,298,0.0351131,0.364854
"eir_1","IBM",3,305,0.0377762,0.389333
"eir_1","IBM",3,312,0.0396443,0.365561
"eir_1","IBM",3,319,0.0383985,0.512366
"eir_1","IBM",3,326,0.0376224,0.365609
"eir_1","IBM",3,333,0.0397871,0.36517
"eir_1","IBM",3,340,0.0400617,0.365073
"eir_1","IBM",3,347,0.0400735,0.43879
"eir_1","IBM",3,354,0.0420243,0.60939
"eir_1","IBM",3,361,0.042724,0.365219
"eir_1","IBM",3,365,0.0429958,0.511443
"eir_3","IBM",3,4,0.0953584,1.35306
"eir_3","IBM",3,11,0.0959249,1.00165
"eir_3","IBM",3,18,0.0962915,1.25386
"eir_3","IBM",3,25,0.0904877,1.10264
"eir_3","IBM",3,32,0.0868901,0.828234
"eir_3","IBM",3,39,0.0858429,1.17677
"eir_3","IBM",3,46,0.0888173,1.35241
"eir_3","IBM",3,53,0.0865442,1.25663
"eir_3","IBM",3,60,0.087905,1.18302
"eir_3","IBM",3,67,0.0914916,1.25853
"eir_3","IBM",3,74,0.0906831,1.13245
"eir_3","IBM",3,81,0.094795,1.1072
"eir_3","IBM",3,88,0.087556,1.03235
"eir_3","IBM",3,95,0.0882937,1.20603
"eir_3","IBM",3,102,0.0848265,1.17855
"eir_3","IBM",3,109,0.0917313,1.00165
"eir_3","IBM",3,116,0.0930901,1.18017
"eir_3","IBM",3,123,0.0935209,0.955827
"eir_3","IBM",3,130,0.0912152,0.906082
"eir_3","IBM",3,137,0.0958768,1.18319
"eir_3","IBM",3,144,0.095264,1.41258
"eir_3","IBM",3,151,0.0899121,0.832527
"eir_3","IBM",3,158,0.0904552,1.25966
"eir_3","IBM",3,165,0.0938551,1.10965
"eir_3","IBM",3,172,0.0970504,1.48784
"eir_3","IBM",3,179,0.0912593,1.05797
"eir_3","IBM",3,186,0.0857072,1.08279
"eir_3","IBM",3,193,0.0864702,1.03193
"eir_3","IBM",3,200,0.0908104,1.18074
"eir_3","IBM",3,207,0.0937623,0.979967
"eir_3","IBM",3,214,0.0954469,1.20495
"eir_3","IBM",3,221,0.0959471,0.97741
"eir_3","IBM",3,228,0.0920611,0.977746
"eir_3","IBM",3,235,0.0986096,1.22525
"eir_3","IBM",3,242,0.098187,0.922221
"eir_3","IBM",3,249,0.0969428,0.844505
"eir_3","IBM",3,256,0.0997626,1.31473
"eir_3","IBM",3,263,0.0989245,1.11628
"eir_3","IBM",3,270,0.0966112,1.28975
"eir_3","IBM",3,277,0.0982054,1.19103
"eir_3","IBM",3,284,0.0989599,1.19167
"eir_3","IBM",3,291,0.0935255,0.943602
"eir_3","IBM",3,298,0.0869909,1.09505
"eir_3","IBM",3,305,0.0883737,1.16804
"eir_3","IBM",3,312,0.082166,0.995839
"eir_3","IBM",3,319,0.0838492,1.22165
"eir_3","IBM",3,326,0.0825729,1.02458
"eir_3","IBM",3,333,0.0845322,1.09932
"eir_3","IBM",3,340,0.0872473,1.02339
"eir_3","IBM",3,347,0.0929494,1.02276
"eir_3","IBM",3,354,0.0942187,1.19901
"eir_3","IBM",3,361,0.0922299,1.04971
"eir_3","IBM",3,365,0.0867453,1.57403
"eir_10","IBM",3,4,0.178645,1.76258
"eir_10","IBM",3,11,0.175867,2.00536
"eir_10","IBM",3,18,0.167134,2.09714
"eir_10","IBM",3,25,0.164465,1.95148
"eir_10","IBM",3,32,0.170393,2.2439
"eir_10","IBM",3,39,0.175343,2.05084
"eir_10","IBM",3,46,0.173468,2.27254
"eir_10","IBM",3,53,0.179499,1.96026
"eir_10","IBM",3,60,0.182786,2.27042
"eir_10","IBM",3,67,0.178211,2.14634
"eir_10","IBM",3,74,0.181818,2.29468
"eir_10","IBM",3,81,0.174269,2.32064
"eir_10","IBM",3,88,0.178659,1.93277
"eir_10","IBM",3,95,0.184256,2.57457
"eir_10","IBM",3,102,0.190851,2.55005
"eir_10","IBM",3,109,0.191651,1.91164
"eir_10","IBM",3,116,0.187274,2.37426
"eir_10","IBM",3,123,0.183609,2.08124
"eir_10","IBM",3,130,0.190011,2.42468
"eir_10","IBM",3,137,0.184829,2.42273
"eir_10","IBM",3,144,0.172487,2.15368
"eir_10","IBM",3,151,0.177349,2.27972
"eir_10","IBM",3,158,0.183144,2.1094
"eir_10","IBM",3,165,0.179932,1.98676
"eir_10","IBM",3,172,0.173384,2.82033
"eir_10","IBM",3,179,0.171406,2.32468
"eir_10","IBM",3,186,0.171621,2.37442
"eir_10","IBM",3,193,0.173114,2.02995
"eir_10","IBM",3,200,0.176716,2.07636
"eir_10","IBM",3,207,0.176613,2.54475
"eir_10","IBM",3,214,0.17801,1.83688
"eir_10","IBM",3,221,0.174917,2.11167
"eir_10","IBM",3,228,0.174208,2.33706
"eir_10","IBM",3,235,0.179954,2.26632
"eir_10","IBM",3,242,0.18316,2.71082
"eir_10","IBM",3,249,0.179943,2.70498
"eir_10","IBM",3,256,0.176733,1.93823
"eir_10","IBM",3,263,0.172282,2.37617
"eir_10","IBM",3,270,0.176894,2.25067
"eir_10","IBM",3,277,0.178692,2.17582
"eir_10","IBM",3,284,0.179037,2.47616
"eir_10","IBM",3,291,0.181733,2.13752
