"scenario","model","rep","doy","pfpr_2_10","clin_0_5"
"demography","IBM",2,74,0.500158,1.29683
"demography","IBM",2,81,0.505106,1.48205
"demography","IBM",2,88,0.508057,1.60322
"demography","IBM",2,95,0.516695,1.2502
"demography","IBM",2,102,0.519245,1.19106
"demography","IBM",2,109,0.516902,0.71721
"demography","IBM",2,116,0.519489,1.31424
"demography","IBM",2,123,0.513971,1.31252
"demography","IBM",2,130,0.518324,0.955497
"demography","IBM",2,137,0.509122,0.95832
"demography","IBM",2,144,0.508369,1.4415
"demography","IBM",2,151,0.51382,1.20184
"demography","IBM",2,158,0.509232,1.32312
"demography","IBM",2,165,0.50766,1.50354
"demography","IBM",2,172,0.50298,1.20007
"demography","IBM",2,179,0.501149,0.901977
"demography","IBM",2,186,0.496712,1.62731
"demography","IBM",2,193,0.49708,1.50677
"demography","IBM",2,200,0.498747,1.49664
"demography","IBM",2,207,0.494359,1.50058
"demography","IBM",2,214,0.490894,1.26381
"demography","IBM",2,221,0.489197,1.09064
"demography","IBM",2,228,0.483488,1.26799
"demography","IBM",2,235,0.482201,1.56111
"demography","IBM",2,242,0.482759,1.01821
"demography","IBM",2,249,0.480906,1.79655
"demography","IBM",2,256,0.478635,1.19829
"demography","IBM",2,263,0.485387,1.55983
"demography","IBM",2,270,0.49093,1.38258
"demography","IBM",2,277,0.491101,0.965768
"demography","IBM",2,284,0.494046,1.75248
"demography","IBM",2,291,0.497152,1.14894
"demography","IBM",2,298,0.491039,1.02681
"demography","IBM",2,305,0.495466,1.08721
"demography","IBM",2,312,0.495998,1.1459
"demography","IBM",2,319,0.493457,1.20601
"demography","IBM",2,326,0.493406,0.722415
"demography","IBM",2,333,0.494626,1.44626
"demography","IBM",2,340,0.499895,1.33035
"demography","IBM",2,347,0.500528,1.02868
"demography","IBM",2,354,0.504274,1.39521
"demography","IBM",2,361,0.506689,1.76829
"demography","IBM",2,365,0.507364,1.7096
"eir_20","IBM",3,4,0.546241,1.58357
"eir_20","IBM",3,11,0.544704,1.58237
"eir_20","IBM",3,18,0.545548,1.10355
"eir_20","IBM",3,25,0.552476,1.70643
"eir_20","IBM",3,32,0.551566,1.60241
"eir_20","IBM",3,39,0.554884,1.47712
"eir_20","IBM",3,46,0.554609,1.80656
"eir_20","IBM",3,53,0.550637,2.0163
"eir_20","IBM",3,60,0.547068,1.79256
"eir_20","IBM",3,67,0.542136,1.41014
"eir_20","IBM",3,74,0.546331,1.66184
"eir_20","IBM",3,81,0.542978,1.53287
"eir_20","IBM",3,88,0.547255,1.6076
"eir_20","IBM",3,95,0.550095,1.65761
"eir_20","IBM",3,102,0.549373,1.40471
"eir_20","IBM",3,109,0.551738,1.70772
"eir_20","IBM",3,116,0.55295,1.33349
"eir_20","IBM",3,123,0.553147,1.91034
"eir_20","IBM",3,130,0.554154,1.5579
"eir_20","IBM",3,137,0.561541,2.08945
"eir_20","IBM",3,144,0.563265,1.28388
"eir_20","IBM",3,151,0.55973,1.76389
"eir_20","IBM",3,158,0.555075,1.33764
"eir_20","IBM",3,165,0.553754,1.69133
"eir_20","IBM",3,172,0.552722,1.31268
"eir_20","IBM",3,179,0.555016,1.79529
"eir_20","IBM",3,186,0.557223,1.89328
"eir_20","IBM",3,193,0.557169,1.58729
"eir_20","IBM",3,200,0.558041,2.04037
"eir_20","IBM",3,207,0.557535,1.361
"eir_20","IBM",3,214,0.5584,1.63881
"eir_20","IBM",3,221,0.557726,1.48815
"eir_20","IBM",3,228,0.558021,1.41307
"eir_20","IBM",3,235,0.557293,1.66632
"eir_20","IBM",3,242,0.559229,1.4932
"eir_20","IBM",3,249,0.557565,1.44459
"eir_20","IBM",3,256,0.556595,1.6945
"eir_20","IBM",3,263,0.559748,1.36619
"eir_20","IBM",3,270,0.560149,1.64517
"eir_20","IBM",3,277,0.562427,1.5951
"eir_20","IBM",3,284,0.561239,1.4391
"eir_20","IBM",3,291,0.563479,0.937066
"eir_20","IBM",3,298,0.562376,1.21616
"eir_20","IBM",3,305,0.557375,1.59367
"eir_20","IBM",3,312,0.556202,1.46637
"eir_20","IBM",3,319,0.560832,1.56414
"eir_20","IBM",3,326,0.555631,1.5141
"eir_20","IBM",3,333,0.561228,1.61571
"eir_20","IBM",3,340,0.564393,1.86727
"eir_20","IBM",3,347,0.562828,1.49041
"eir_20","IBM",3,354,0.561008,1.51274
"eir_20","IBM",3,361,0.560692,1.7617
"eir_20","IBM",3,365,0.559796,1.05593
"demography","IBM",3,4,0.462217,1.23909
"demography","IBM",3,11,0.464062,0.827129
"demography","IBM",3,18,0.465574,1.2345
