"scenario","model","rep","years","elapsed_s"
"eir_10","IBM",8,33,86.25
"eir_50","IBM",8,33,93.21
"seasonal","IBM",8,33,83.73
"smc","IBM",8,33,81.9
"eir_1","IBM",9,33,72.58
"eir_10","IBM",9,33,82.84
"eir_50","IBM",9,33,91.84
"seasonal","IBM",9,33,81.68
"smc","IBM",9,33,80.84
"eir_1","IBM",10,33,73.35
"eir_10","IBM",10,33,82.23
"eir_50","IBM",10,33,92.1
"seasonal","IBM",10,33,82.11
"smc","IBM",10,33,79.98
"eir_1","IBM",11,33,71.2
"eir_10","IBM",11,33,83.17
"eir_50","IBM",11,33,92.06
"seasonal","IBM",11,33,84.25
"smc","IBM",11,33,81.56
"eir_1","IBM",12,33,73.65
"eir_10","IBM",12,33,85.06
"eir_50","IBM",12,33,93.47
"seasonal","IBM",12,33,83.09
"smc","IBM",12,33,81.49
"eir_1","IBM",13,33,72.17
"eir_10","IBM",13,33,83.67
"eir_50","IBM",13,33,91.67
"seasonal","IBM",13,33,81.39
"smc","IBM",13,33,79.93
"eir_1","IBM",14,33,72.06
"eir_10","IBM",14,33,83.36
"eir_50","IBM",14,33,92.43
"seasonal","IBM",14,33,81.77
"smc","IBM",14,33,80.86
"eir_1","IBM",15,33,72.11
"eir_10","IBM",15,33,83.19
"eir_50","IBM",15,33,91.91
"seasonal","IBM",15,33,82.91
"smc","IBM",15,33,80.31
"eir_1","IBM",16,33,71.93
"eir_10","IBM",16,33,84.08
"eir_50","IBM",16,33,91.01
"seasonal","IBM",16,33,81.83
"smc","IBM",16,33,81.47
"eir_1","IBM",17,33,71.75
"eir_10","IBM",17,33,83.72
"eir_50","IBM",17,33,91.83
"seasonal","IBM",17,33,82.6
"smc","IBM",17,33,80.27
"eir_1","IBM",18,33,71.84
"eir_10","IBM",18,33,82.73
"eir_50","IBM",18,33,92.68
"seasonal","IBM",18,33,83.73
"smc","IBM",18,33,81.11
"eir_1","IBM",19,33,73.9
"eir_10","IBM",19,33,85.87
"eir_50","IBM",19,33,92.66
"seasonal","IBM",19,33,83.16
"smc","IBM",19,33,79.43
"eir_1","IBM",20,33,71.07
"eir_10","IBM",20,33,77.83
"eir_50","IBM",20,33,82.49
"seasonal","IBM",20,33,68.42
"smc","IBM",20,33,63.8
"eir_3","IBM",1,33,185.17
"eir_120","IBM",1,33,216.2
"eir_3","IBM",2,33,184.91
"eir_120","IBM",2,33,216.08
"eir_3","IBM",3,33,185.94
"eir_120","IBM",3,33,215.57
"eir_3","IBM",4,33,185.66
"eir_120","IBM",4,33,215.21
"eir_3","IBM",5,33,184.44
"eir_120","IBM",5,33,215.75
"eir_3","IBM",6,33,187.14
"eir_120","IBM",6,33,217.94
"eir_3","IBM",7,33,185.35
"eir_120","IBM",7,33,215.14
"eir_3","IBM",8,33,185.39
"eir_120","IBM",8,33,211.89
"eir_3","IBM",9,33,183.14
"eir_120","IBM",9,33,211.85
"eir_3","IBM",10,33,184.28
"eir_120","IBM",10,33,212.78
"eir_3","IBM",11,33,175.24
"eir_120","IBM",11,33,204.85
"eir_3","IBM",12,33,177.56
"eir_120","IBM",12,33,202.41
"eir_3","IBM",13,33,174
"eir_120","IBM",13,33,201.73
"eir_3","IBM",14,33,175.31
"eir_120","IBM",14,33,201.97
"eir_3","IBM",15,33,173.45
"eir_120","IBM",15,33,202.95
"eir_3","IBM",16,33,174.55
"eir_120","IBM",16,33,201.51
"eir_3","IBM",17,33,172.08
"eir_120","IBM",17,33,196.27
"eir_3","IBM",18,33,173.2
"eir_120","IBM",18,33,188.58
"eir_3","IBM",19,33,168
"eir_120","IBM",19,33,188.09
"eir_3","IBM",20,33,160.21
