"eir","metric","mid","lo","hi","model","scenario"
"EIR 3","clinical incidence, ages 0–5",0.9815028523,NA,NA,"fleet","Indoor residual spraying
80% coverage, annual"
"EIR 3","clinical incidence, all ages",0.9814452451,NA,NA,"fleet","Indoor residual spraying
80% coverage, annual"
"EIR 3","severe incidence, all ages",0.9803853795,NA,NA,"fleet","Indoor residual spraying
80% coverage, annual"
"EIR 20","LM prevalence, ages 2–10",0.4649637701,NA,NA,"fleet","Bed-net campaign
80% coverage, one round"
"EIR 20","clinical incidence, ages 0–5",0.6559872405,NA,NA,"fleet","Bed-net campaign
80% coverage, one round"
"EIR 20","clinical incidence, all ages",0.6605413561,NA,NA,"fleet","Bed-net campaign
80% coverage, one round"
"EIR 20","severe incidence, all ages",0.4935482842,NA,NA,"fleet","Bed-net campaign
80% coverage, one round"
"EIR 120","LM prevalence, ages 2–10",0.2539969989,NA,NA,"fleet","Bed-net campaign
80% coverage, one round"
"EIR 120","clinical incidence, ages 0–5",0.4227571916,NA,NA,"fleet","Bed-net campaign
80% coverage, one round"
"EIR 120","clinical incidence, all ages",0.4452764999,NA,NA,"fleet","Bed-net campaign
80% coverage, one round"
"EIR 120","severe incidence, all ages",0.1690079336,NA,NA,"fleet","Bed-net campaign
80% coverage, one round"
"EIR 3","LM prevalence, ages 2–10",0.6860917622,NA,NA,"fleet","Bed-net campaign
80% coverage, one round"
"EIR 3","clinical incidence, ages 0–5",0.8592150812,NA,NA,"fleet","Bed-net campaign
80% coverage, one round"
"EIR 3","clinical incidence, all ages",0.8541171037,NA,NA,"fleet","Bed-net campaign
80% coverage, one round"
"EIR 3","severe incidence, all ages",0.8138079433,NA,NA,"fleet","Bed-net campaign
80% coverage, one round"
"EIR 20","LM prevalence, ages 2–10",0.008330625702,NA,NA,"fleet","RTS,S via EPI
90% at 5 months, booster"
"EIR 20","clinical incidence, ages 0–5",0.1018345131,NA,NA,"fleet","RTS,S via EPI
90% at 5 months, booster"
"EIR 20","clinical incidence, all ages",0.04999365971,NA,NA,"fleet","RTS,S via EPI
90% at 5 months, booster"
"EIR 20","severe incidence, all ages",0.1001662627,NA,NA,"fleet","RTS,S via EPI
90% at 5 months, booster"
"EIR 120","LM prevalence, ages 2–10",0.003942825808,NA,NA,"fleet","RTS,S via EPI
90% at 5 months, booster"
